file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
app/engine_analysis/online_config.py,15,max_snapshot_age_ms,300000,max_snapshot_age_ms,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,16,run_on_closed_candle_only,True,run_on_closed_candle_only,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:16:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,21,atr_lookback_candles,14,atr_lookback_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:21:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,22,impulse_lookback_candles,96,impulse_lookback_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:22:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,23,impulse_absolute_threshold_pct,3.0,impulse_absolute_threshold_pct,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:23:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,24,impulse_atr_multiplier,2.5,impulse_atr_multiplier,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:24:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,25,structure_lookback_candles,96,structure_lookback_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:25:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,27,confirmation_window_candles,3,confirmation_window_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:27:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/online_config.py,30,regime_lookback_candles,96,regime_lookback_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/online_config.py:30:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/profitability_labels.py,31,fee_bps_per_side,10.0,fee_bps_per_side,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/profitability_labels.py:31:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/profitability_labels.py,32,slippage_bps_per_side,2.0,slippage_bps_per_side,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/profitability_labels.py:32:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/regime_composer.py,39,MIN_REGIME_SCORE,0.3,MIN_REGIME_SCORE,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/regime_composer.py:39:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/regime_composer.py,40,MIN_SCORE_MARGIN,0.08,MIN_SCORE_MARGIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/regime_composer.py:40:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/schwager_range_context.py,22,MIN_ZONE_TOUCHES,2,MIN_ZONE_TOUCHES,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/schwager_range_context.py:22:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/schwager_range_context.py,23,MIN_RANGE_TOUCHES,4,MIN_RANGE_TOUCHES,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/schwager_range_context.py:23:assignment,trace behavior authority; no direct YAML reference on this expression
